Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
321,-0.5625,-1.1875,-2.4375,-0.04638672,-0.07373047,1.017578,0.1503906,-0.02148438,-0.5004883
323,-0.8125,-2,-2.3125,-0.05810547,-0.06982422,1.017578,0.1567383,-0.01953125,-0.5004883
324,-0.6875,-1.375,-2.8125,-0.05029297,-0.06591797,1.001953,0.1567383,-0.01953125,-0.5004883
326,-0.5625,-2,-2.5,-0.05029297,-0.06591797,1.009766,0.1567383,-0.01953125,-0.5004883
327,0.375,-2.4375,-2.6875,-0.07373047,-0.08935547,1.025391,0.1479492,-0.01953125,-0.5078125
329,0,-1.9375,-2.25,-0.05810547,-0.07373047,1.021484,0.1479492,-0.01953125,-0.5078125
330,0.1875,-2.6875,-2.3125,-0.06201172,-0.09326172,0.9946289,0.1479492,-0.01953125,-0.5078125
332,-0.9375,-2.9375,-1.9375,-0.06982422,-0.05029297,0.9790039,0.1479492,-0.01953125,-0.5078125
333,-0.5,-2.875,-1.375,-0.06591797,-0.08935547,1.001953,0.1479492,-0.01953125,-0.5078125
335,-0.625,-3.25,-0.6875,-0.06201172,-0.09326172,1.021484,0.1479492,-0.01953125,-0.5078125
336,-0.625,-2.75,0,-0.06591797,-0.08544922,1.001953,0.1479492,-0.01953125,-0.5078125
338,-1.6875,-2.9375,0,-0.07373047,-0.05419922,0.9946289,0.1435547,-0.01953125,-0.5029297
339,-1.6875,-2.9375,0.5625,-0.05810547,-0.07763672,0.9790039,0.1435547,-0.01953125,-0.5029297
341,-1.1875,-2.5625,0.6875,-0.06591797,-0.07763672,0.9946289,0.1435547,-0.01953125,-0.5029297
342,-1.625,-2.9375,0.5,-0.05810547,-0.08154297,1.005859,0.1435547,-0.01269531,-0.5102539
344,-1.1875,-2.6875,0.6875,-0.06591797,-0.08154297,0.9985352,0.1435547,-0.01269531,-0.5102539
345,-0.6875,-2.3125,0.75,-0.06201172,-0.08544922,0.9907227,0.1435547,-0.01269531,-0.5102539
347,-0.6875,-1.9375,1,-0.05810547,-0.07373047,1.013672,0.1523438,-0.01513672,-0.5053711
348,-1.125,-1.875,1.3125,-0.05029297,-0.1049805,1.021484,0.1523438,-0.01513672,-0.5053711
350,-1.6875,-1.375,1.25,-0.04248047,-0.09326172,0.9868164,0.1523438,-0.01513672,-0.5053711
351,-1.8125,-1.4375,1.0625,-0.05029297,-0.06982422,1.013672,0.1523438,-0.01513672,-0.5053711
353,-1.0625,-1.0625,1.5625,-0.06201172,-0.07373047,0.9868164,0.1459961,-0.01708984,-0.5126953
354,-0.625,-1,1.0625,-0.04638672,-0.09326172,0.9907227,0.1459961,-0.01708984,-0.5126953
